Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C27, C34, C41, C50, C51, C52, C53",0805,8,100nF,
C10,0805,1,4.7uF,
"C11, C12",0805,2,10nF,
"C13, C14, C22, C24, C25",0805,5,0.1uF,
"C15, C16, C17, C18, C19, C20, C21, C23, C7, C9",0805,10,10uF,
"C2, C26, C28, C29, C3, C30, C31, C32, C33, C35, C36, C37, C38, C39, C4, C40, C42, C43, C44, C46, C47, C48, C5, C6",0805,24,0.47uF,
C49,0805,1,10-100nF,
C8,0805,1,1uF,
"R1, R10, R11, R12, R15, R2, R23, R24, R25, R26, R3, R4, R40, R41, R42, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R59, R6, R60, R61, R62, R63, R64, R65, R66, R67, R68, R69, R7, R70, R71, R72, R73, R74, R75, R76, R77, R78, R8, R9",0603,56,1K,
"R13, R14, R18, R19, R20, R27, R28, R29, R30, R34",0603,10,100K,
"R16, R17, R31, R32, R33, R37, R38, R39",0603,8,10K,
R21,0603,1,47R,
R22,0603,1,22K,
R35,0603,1,33K,
R79,0603,1,4.7K,
"RV1, RV2, RV21, RV22, RV23, RV24, RV25, RV26, RV27, RV28, RV29, RV3, RV30, RV31, RV32, RV33, RV34, RV35, RV36, RV37, RV38, RV4, RV5, RV6",Potentiometer_Bourns_3296W_Vertical,24,100K, C118963
"U1, U10, U11, U12, U3",SOIC-14_L8.7-W3.9-P1.27-LS6.0-BL,5,40106,C38184
U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL,1,LM358,C7950
"U4, U5, U6, U7, U8, U9",SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,6,NE5532,C7426
